"","pull_request","number_of_commits","number_of_comments","number_of_reviews","user_type","user_login","merged_at","number_of_additions","number_of_deletions","number_of_files_changed","number_of_days","message","number_of_characters","second_line_is_blank","language","number_of_test_files"
"629",12696,250,83,0,"Externals","thomasjo","2017-05-19T11:38:22Z",8961,15463,88,245,"### Reported Issues

* [x] Object undefined errors from Electron https://github.com/atom/atom/pull/12696#issuecomment-261263408 and https://github.com/atom/atom/pull/12696#issuecomment-261527755
* [x] Default CSP changed, breaking file-icons and specs
* [x] `os.tmpDir()` deprecation warnings https://github.com/atom/atom/pull/12696#issuecomment-288871751
* [x] Drag image in `tree-view` incorrect (https://github.com/atom/tree-view/pull/1054)
* [x] Drop marker on `tabs` and `tree-view` missing (https://github.com/atom/tree-view/pull/1055, https://github.com/atom/tabs/pull/426)
* [x] Changes from https://github.com/atom/atom/pull/13795 cause exceptions in minimap (https://github.com/atom-minimap/minimap/pull/582)
* [x] Dragging pane items between docks mistakenly shows drop indicators due to new security constraints for the `dragover` event `dataTransfer` object (https://github.com/atom/tabs/pull/437)
* [x] Developer tools stop updating after reloading a window in dev mode
* [x] Issues folding soft-wrapped lines https://github.com/atom/atom/pull/12696#issuecomment-301161445
* [x] Dev tools reload exception (https://github.com/atom/atom/pull/12696#issuecomment-301207979, filed a bug for this in https://github.com/electron/electron/issues/9493)
* [x] Dev tools reload crash (end of https://github.com/atom/atom/pull/12696#issuecomment-301207979, filed a bug for this in https://github.com/electron/electron/issues/9493)
* [ ] White flash when hiding toolbar https://github.com/atom/atom/pull/12696#issuecomment-301182375
* [ ] Warnings from tree-view https://github.com/atom/atom/pull/12696#issuecomment-301208739
* [ ] Consistently crashing when continuing from a devtools breakpoint (filed a bug for this in https://github.com/electron/electron/issues/9078)

Reported issues resolved by #13880:

* [x] Scrollbars misbehaving on first file that is opened/restored https://github.com/atom/atom/pull/12696#issuecomment-251299649
* [x] Shift-scrolling scrolls vertically instead
* [x] Failing `spec/text-editor-component-spec.js` tests

---

During my initial testing on macOS 10.12, this seems to be working. Haven't noticed any regressions.
Would be great if more folks could give this a spin 🙇

/cc @atom/maintainers 

---

Fixes #11692 
Resolves #12690
Fixes #8006
Fixes #12832 
Fixes #13767 
Fixes #4084 (Will be fixed by the editor rendering rewrite)
Fixes #13265 (Will be fixed by the editor rendering rewrite)",2470,"True","en",1
"662",12545,3,2,2,"Externals","yuanwhy","2017-01-09T19:29:43Z",4,0,2,133,"Fixes https://github.com/atom/atom/issues/12495

When we add or remove project folder,  the window's current project path will be changed, then ""initialPaths"" will be reloaded, it is the best time to save state

/cc @maxbrunsfeld @lee-dohm 
",241,"True","en",0
"762",11852,8,16,0,"Externals","MikeInnes","2016-12-12T17:51:07Z",64,18,4,199,"Right now overlays will often move up and down as you scroll, attempting to stay within the editor view. This makes sense for autocomplete, but less sense for things like annotations in code (see e.g. Ink, Hydrogen packages). Indeed in these cases the jumpiness feels very unstable.

So I added a simple option which turns it off. The name could probably do with refinement.

Edit: [more helpful diff](https://github.com/atom/atom/pull/11852/files?w=0). Also, same testing concern as #11864.
",492,"True","en",0
"774",11803,1,2,0,"Externals","lexicalunit","2017-03-13T21:46:51Z",11,5,2,296,"Following a call to `replaceSelectedText()`, the previous selected text range is not necessarily still relevant as that text has been replaced. The newly inserted text can possibly have a totally different range. Use the range of the newly inserted text as the final selection range.
",284,"True","en",0
"813",11541,3,6,4,"Externals","BrainCrumbz","2016-10-31T17:05:35Z",13,0,1,194,"Comments came out while discussing issue #11137
",48,"True","en",0
"839",11399,43,44,15,"Internals","BinaryMuse","2017-10-17T23:29:28Z",475,18,15,558,"See update below: https://github.com/atom/atom/pull/11399#issuecomment-330396536

---

This PR implements the `MessageRegistry`, which is similar to the `CommandRegistry` in that it maps string types of some kind to callback functions, but it differs in that messages originate from outside the application via `atom://` URIs handled via [the `open-url` event](http://electron.atom.io/docs/v0.37.4/api/app/#event-open-url-os-x).

This partially implements https://github.com/atom/atom/issues/5262, provides a mechanism for hitting things like https://github.com/atom/settings-view/pull/614 from outside the application (e.g. ""View in Atom"" links on package pages on the Atom site), and would enable package authors to implement things like https://github.com/atom/atom/issues/2037 for external debuggers, etc.

There is still some additional work to do around registering Atom as a system-level handler for `atom://` URIs on non-Mac systems, but that probably will be installer-based work.

/cc @atom/core @atom/feedback for review. Some open questions I have are:
- I restricted messages to URIs starting with `atom://atom` as we already [have a mechanism that utilizes URIs with hosts that match package names](https://github.com/atom/atom/blob/822e0c95108aadb91631570e386d8cf96d7cfdd0/src/browser/atom-application.coffee#L550-L557) to perform some work. (What is this used for? I'm not familiar with it.) I'd love to get rid of this, as it means we can't use any host that might match a package name. If anyone has bright ideas for URI schemes, that'd be awesome. (I thought maybe something like `atom://.message/...`?)
- Right now, the callback function is called with the string message (just the `namespace:name` portion) and the params, but maybe it makes more sense to pass the entire URI, or the parsed URI object.
",1837,"True","en",1
"842",11388,1,10,0,"Externals","ypresto","2016-08-06T13:07:30Z",12,0,2,121,"https://github.com/atom/atom/issues/8295#issuecomment-206484993
",64,"True","en",0
"864",11284,1,2,0,"Externals","jonmast","2016-08-06T16:06:34Z",1,1,1,133,"The desktop entry specification states that %U is for URLs and %F is for
files. Since atom doesn't support URLs, we should use %F. Fixes #2320.
",144,"False","en",0
"873",11216,1,2,0,"Externals","ypresto","2016-07-25T17:29:35Z",4,3,1,127,"When config.setDefaults() is called ""did-change"" event emitted per one config key.
This hits performance when package has large set of default configs (like [atom-beautify](https://github.com/Glavin001/atom-beautify/issues/679).

Without transact: 

<img width=""637"" alt=""2016-03-20 1 29 10"" src=""https://cloud.githubusercontent.com/assets/400558/13903054/ab40c602-eeac-11e5-807b-953c18cbdded.png"">

With transact:

<img width=""641"" alt=""2016-03-20 14 47 49"" src=""https://cloud.githubusercontent.com/assets/400558/13903071/1def58bc-eead-11e5-8cd7-5394d0ee017a.png"">

Thanks!
",575,"False","en",0
"953",10748,1,0,0,"Internals","lee-dohm","2016-09-29T19:10:51Z",1,1,1,232,"Ultimately we should add some stuff to the Flight Manual about file globs in various places in Atom. I just wanted to get something in place for now because of:

https://discuss.atom.io/t/tree-view-not-ignoring-ignored-names-names/25258
",237,"True","en",0
"1051",9748,2,5,0,"Externals","fscherwi","2016-05-05T21:48:48Z",1,1,1,165,"Upgrade pathwatcher, which has no API-changes and better support for UNIX-like systems!
",88,"True","en",0
"1066",9642,4,3,0,"Externals","colllin","2016-03-01T03:32:49Z",28,5,2,104,"Before:

![before](https://cloud.githubusercontent.com/assets/185923/11204338/0318921e-8cbb-11e5-824c-39e1c72b3a8e.gif)

After:

![after](https://cloud.githubusercontent.com/assets/185923/11204340/09fa03b0-8cbb-11e5-8423-26c2dc6279e6.gif)
",239,"True","en",0
"1076",9554,4,24,17,"Externals","didrocks","2016-04-06T20:29:32Z",105,6,6,145,"Now that Atom has a relocable/portable config directories and different channels, it makes sense to have a way to distribute an archive on Linux (as suggested on bug #7102) containing latest available code for each channels.

This has two advantages:
- this will enable (in a later step) to enable auto-upgrade to follow multiple channels (optionally in parallel in different directories). We can even think giving a way for people to switch between channels as needed (given the user config stay backward compatible). I'm happy to work on those 2 problematics after/if this PR is merged at some point.
- if all dependencies are installed in the distribution, the atom installation is then just a question of extracting an archive, requiring non root permission contrary to the .deb or .rpm packages.

We can then integrate this archive to be downloaded to some tools like Ubuntu Make (https://github.com/ubuntu/ubuntu-make/issues/6).

We generate a .tar.gz compressed archive (we could switch to a more performant .tar.xz, but the first format is more widespread and usual). I did add the `mktar` to the `CI task` (I saw the rpm wasn't in there, so I guess, it's only running on an Ubuntu machine) and tested it. I did add the task as well to `upload-assets`, but of course, I couldn't test it ;) The changes there are though minimal, but I can modify what's necessary as needed.

As _version_ contains _upstream version + channel name_, I didn't change anything in the naming of the archive publication, and the folder in archive contains thus an uniquely defined build.

Of course, the resulting archive is linked against the libraries available in the builder version. mktar is run where the .deb is built, which is, I guess, the latest ubuntu LTS. I tried the built archive on 14.04 LTS, 15.04, 15.10 and xenial (dev version), and everything is working as expected. If this doesn't work on other distros (which, looking at the deps, seems unlikely and we already only have one deb for debian/ubuntu and one rpm for fedora/opensuse…), we can build multiple archives. But I propose we starts with this one.

I'm happy to do any changes that you feel are necessary!
",2170,"True","en",0
"1122",9198,2,22,0,"Externals","alexchandel","2016-02-10T19:53:54Z",10,1,2,115,"Fixes #8261 
Fixes #9147
",25,"False","en",0
"1177",8793,1,0,0,"Externals","BrainCrumbz","2016-03-11T19:38:06Z",59,32,1,178,"",0,"False","en",0
"1320",7953,4,46,6,"Externals","acontreras89","2016-02-09T01:51:16Z",231,29,13,206,"**Updated** as of Feb 2016 (see discussion below):
Improve multi-pane API to allow creating empty panes, as well as moving or copying files among them. 
Addresses #4738.
- [x] Add an option (namely `moveActiveItem`) to `Pane::split`, allowing to move the active item when splitting, instead of copying it
- [x] Rewrite `pane:split-<direction>` commands to create empty panes
- [x] Add `pane:split-<direction>-and-<action>-active-item` commands, to achieve original behaviour of the split commands and, alternatively, move the current item instead of copying it
- [x] Add `window:<action>-active-item-to-pane-<direction'>` to allow moving and copying files between panes

Where
- `<direction>` is either `up`, `down`, `right` or `left`
- `<action>` is either `copy` or `move`
- `<direction'>` is either `above`, `below`, `on-right` or `on-left`

Behavior for current key bindings is kept. For example, <kbd>cmd-k left</kbd> (<kbd>ctrl-k left</kbd>) will now trigger `pane:split-left-and-copy-active-item` instead of `pane:split-left`.
",1034,"False","en",0
"1324",7916,1,10,0,"Externals","oggy","2016-01-26T22:45:00Z",44,3,2,195,"The ""enum"" property may now specify options as a list of [value,
description] pairs.

This goes with atom/settings-view#589.
",125,"False","en",0
"1508",6631,17,23,2,"Externals","mnquintana","2016-03-31T05:30:19Z",203,0,9,332,"_See https://discuss.atom.io/t/shift-selection-by-column/16545?u=mnquintana for more background_

![screencap1](https://cloud.githubusercontent.com/assets/823545/7448891/7c64c1ea-f1f4-11e4-94bf-dfbaab1a5ee6.gif)

This adds the column-equivalent of `TextEditor::moveLineUp()` and `TextEditor::moveLineDown()` - instead of moving a line up or down, these commands move any active selections left or right by one column. This is especially useful if you're refactoring / generally trying to clean up your code.

TODO:
- [x] Add keybindings for Linux and Windows (anyone have any suggestions for good keybindings for this?)
- [x] Consider renaming commands? (Is Move Selection Left / Right too vague?)
- [x] Fix case when moving multiple one-line selections to either the beginning or end of the line

Shoutout to @lee-dohm for helping with the implementation :wave: 

/cc @atom/feedback 
",885,"True","en",0
"1648",5806,2,6,0,"Externals","dsandstrom","2015-07-01T17:47:35Z",386,0,8,121,"Add commands for moving, selecting, and deleting camelCase words.

Fixes #1982 and an alternative to #3961. Also, hopefully can used with atom/vim-mode#377.

Replaces #4429.
",174,"True","en",0
