"","pull_request","number_of_commits","number_of_comments","number_of_reviews","user_type","user_login","merged_at","number_of_additions","number_of_deletions","number_of_files_changed","number_of_days","message","number_of_characters","second_line_is_blank","language","number_of_test_files"
"619",2341,1,5,0,"Internals","bkeepers","2016-03-17T03:15:50Z",85,41,5,335,"It has always bothered me that the main public method for linguist was buried in the `Language` class in the middle of a bunch of other internal methods.

This renames `Linguist::Language.detect` to `Linguist.detect` and deprecates the old method. Thoughts?

Since this is a new method, I would recommend we release this in 4.6.0, and then remove the deprecated method in 5.0.

/cc @arfon @pchaigno @larsbrinkhoff 
",415,"True","en",2
"699",2179,2,6,0,"Externals","pchaigno","2015-07-04T15:57:43Z",273,2,3,126,"I am opening this pull request to get some help on it.
I am trying to implement the change suggested in #1685 to ignore symbolic links.

@bkeepers suggested to change [these lines in `repository.rb`](https://github.com/github/linguist/blob/master/lib/linguist/repository.rb#L153-L155). Is that going to affect the search results as well? (as @quasado wanted)

I made the changes which should ignore symlinks based on the mode attribute. I tested on the two files that I added in `test/fixtures/SVG/`. It doesn't work, the mode doesn't seem to change for a symbolic link at all... :/
",583,"False","en",0
"716",2146,2,7,0,"Externals","pchaigno","2016-03-09T12:02:58Z",1989,0,4,381,"This pull request adds support for two Text extensions mis-recognized as Mathematica (reported at #2137).

@arfon Could you send me a corpus of files from this search: https://github.com/search?o=asc&q=er+en+som+extension%3Ano+extension%3Anb&ref=searchresults&s=indexed&type=Code&utf8=%E2%9C%93 and one from https://github.com/search?o=desc&q=mathematica+extension%3Ano+extension%3Anb&ref=searchresults&s=indexed&type=Code&utf8=%E2%9C%93 to test this changes? Thanks.
",468,"True","en",0
"749",2070,1,15,0,"Externals","R4PaSs","2017-05-15T08:02:06Z",1536,0,12,832,"Hi,

PEP-8 is not only Python's conventions for code formatting, it is also a dead simple toy assembly language, the repo of the language/environment itself is available on [Google Code](http://code.google.com/p/pep8-1/).

There's not a lot of use for it, being a toy language, it is never used in production environments.

However, we do use it for teaching purposes in a course at the university I'm attending, being a simplified assembly-level language, it is easier for students to approach machine-level concerns without getting too overwhelmed by the complexity of real-world assembly languages such as x86 or ARM.

I'm using Github as a platform for [teaching material](https://github.com/R4PaSs/PEP8-examples), since there will be some PEP-8 code hosted here, I figured this would be a good time to try and have the language recognized and highlighted by Github.

Some students also use Github as a mean to versionize their code, I have a few examples of assignments done by students during previous sessions of the course:
- [4-in-a-row](https://github.com/Freddrickk/Puissance4)
- [Brainfuck interpreter](https://github.com/madeinqc/Pep8-assembly---Brainfuck-interpreter)
- [CamelCase to snake_case converter](https://github.com/madeinqc/Pep8-assembly---Snake-case-converter)

There might be other examples of PEP-8 code on Github, but not that I personally know of.
",1377,"True","en",0
"762",2006,2,17,4,"Externals","pchaigno","2016-12-12T20:34:33Z",435,29,10,687,"I think we should separate the detection by filenames from the detection by file extensions. I'm opening this issue to discuss the pros and cons of this approach.

So I think we should have a new Strategy that checks if a file match one of the filenames defined in `languages.yml`. If it does, then it can return directly the language associated. If none is found, the process can continue as usual.

This new strategy would fix many _miss-detections_ currently happening:
- [`CMakeLists.txt` detected as Text instead of CMake](https://github.com/search?l=text&o=desc&q=filename%3ACMakeLists.txt+cmake_minimum_required&ref=searchresults&s=indexed&type=Code&utf8=%E2%9C%93)
- [`pom.xml` detected as XML instead of Maven POM](https://github.com/search?l=xml&q=filename%3Apom.xml+xml&ref=searchresults&type=Code&utf8=%E2%9C%93) (all `.xml` filenames have miss-detections)
- Executable files: see [Makefile](https://github.com/search?l=perl&q=filename%3AMakefile+all&ref=searchresults&type=Code&utf8=%E2%9C%93), [Dockerfile](https://github.com/search?l=bash&o=desc&q=filename%3ADockerfile+env&ref=searchresults&s=indexed&type=Code&utf8=%E2%9C%93) or [Cakefile](https://github.com/search?l=javascript&q=filename%3ACakefile+if&ref=searchresults&type=Code&utf8=%E2%9C%93).

The only drawback I see so far is that there might be some cases where developers use filenames defined in `languages.yml` for other language than what there are usually associated to. I think it's an acceptable drawback because the filenames defined in `languages.yml` are sufficiently specific and if it does happen, they can always use the Overrides.

/cc @arfon @bkeepers 
",1644,"True","en",1
"790",1965,4,13,0,"Internals","aroben","2016-03-09T12:35:31Z",11,26,7,426,"Now that all our grammars are licensed (or grandfathered in), we can distribute them as part of the standard github-linguist gem. This makes it easier for projects to get up and running with Linguist.

/cc @bkeepers @arfon @vmg
",228,"True","en",0
"823",1899,3,5,0,"Externals","sethvargo","2015-07-29T13:14:38Z",27,0,3,222,"More information on HCL: https://github.com/hashicorp/hcl
",58,"True","en",0
"881",1770,11,17,0,"Externals","fushnisoft","2015-04-10T20:32:46Z",370,0,11,135,"Clarion is a Rapid Application Development tool (RAD) with a 4th Generation language. The language was create by Bruce Barrington back in the early 1980 and operated in DOS until Clarion for Windows came out in 1994.

Some examples of Clarion on GitHub:
https://github.com/devroadmaps/DevroadmapsClarionLibrary
https://github.com/fushnisoft/ClarionMetroWizard
https://github.com/CarlosGtrz/ClarionJson
https://github.com/MarkGoldberg/ClarionCommunity
https://github.com/MarkGoldberg/CwUnit
https://github.com/Rick-UpperPark/ClarionLiveDLLTutor
https://github.com/ClarionLive?tab=repositories
",592,"True","en",0
"963",1604,1,6,1,"Externals","geoff-codes","2015-04-01T20:18:40Z",1520,0,6,166,"- Add `--` and `""` style single-line comments.
  - Rearrange `elsif`s so `""` comments don't interfere with removing double-quoted strings.
- Don't fail to detect valid `#!/usr/bin/env` shebangs which actually ""`env`"" environmental variables.

**Edit**:

---
- Add tests to test_tokenizer.rb to match tokenizer.rb.
- Add samples for `""` and `--` comments and complicated `env` shebangs.
- Also, add `.tool` as shell extension (basically, exactly as #1622).
",456,"False","en",1
"976",1573,7,7,0,"Externals","ztmr","2015-04-10T20:54:05Z",4955,0,10,188,"Search here on GitHub:
- `vms extension:mms extension:mmk` gives 10,840 code results,
- `vms extension:com` gives 27,922 code results.

(Note that not all the files contain `vms` keyword...)
",191,"False","en",0
"1000",1523,4,18,2,"Externals","fingolfin","2015-01-23T20:50:33Z",200,2,5,132,"This adds a fourth extension for the ""GAP"" language: .tst, which is used for test cases (which use a slightly different set of syntax rules). Currently, such .tst files are mis-detected as SciLabg, see e.g. here:

  https://github.com/gap-system/SingularInterface/search?l=scilab

Indeed, for that project, GitHub thinks it is written in 67.% Scilab and 28.1% GAP -- but all that ""Scilab"" code is GAP code.

Secondly, it removes the 'lexer: Text only' mark, as my Pygments patch adding support for GAP was merged in April. I also verified that it is live on GitHub, e.g.:

``` gap
# This is GAP code
if x = fail then
  Print(""Failure\n"");
else
  Print(""All seems well\n"");
fi;
```
",681,"True","en",0
"1006",1511,8,6,4,"Externals","edmundito","2015-02-16T19:23:08Z",15,5,2,163,"Went into the Explore languages feature within github to see the ""AGS Script"" projects and noticed a couple of things:
1. .asc files were getting marked as AGS Script but formatted as AsciiDoc
2. .asc files that were neither format were also getting marked as AsciiDoc.

So, I added a heuristics checker for .asc files. ~~Additionally, because AGS Script is a nameless language  designed specifically for the Adventure Game Studio tool (and mentioned as `'C'-style script` within the AGS source code, but no one calls it that), I renamed the script to Adventure Game Studio to avoid ambiguity (similar to how the ColdFusion's language is called ColdFusion), and brings more clarity to Adventure Game Studio game projects within github~~.

After making these changes, I cloned a selection of the projects that were incorrectly marked as AGS Script and ran a `exec rake linguist <clone_path> --breakdown` on them to ensure that things were working properly.
",956,"False","en",1
"1099",1267,1,5,0,"Externals","pchaigno","2014-09-24T21:50:58Z",67055,66495,7,106,"This PR adds support for the `.pp` file extension for Pascal as mentioned in #1265.
`.pp` is already the primary extension for Puppet so I added a few samples for both languages.
I tested it on most of the trending Puppet repository as well as on [graemeg/lazarus](https://github.com/graemeg/lazarus).
",302,"False","en",0
"1153",1143,10,12,4,"Externals","pchaigno","2015-01-24T14:58:07Z",483,0,6,271,"Updated version of #949 (and neater).

Pull request taken up from #919.
Some example NewLISP repositories on GitHub:
https://github.com/kanendosei/artful-newlisp
https://github.com/taoeffect/dragonfly-newlisp
https://github.com/newlisponrockets/newLISP-on-Rockets
",264,"True","en",1
"1160",1129,6,6,0,"Externals","pchaigno","2014-12-12T02:58:06Z",68,8,5,230,"This pull request was asked for in #1074. It adds support for the BitBake language.

It creates a conflict on the .bb extension with BlitzBasic.
I tested it on several BitBake repositories (which are currently recognized as BlitzBasic) and I didn't have a single perfect detection. I think this is because they aren't that different and, on the small files, the Bayesian classifier isn't very helpful. (It's better than before as BitBake files were not detected at all.)
@e8johan Do you have more representative BitBake files? It could help improve the accuracy of the Bayesian classifier.

I think it could be resolved with heuristics as discussed in #1074. I could write these when heuristics are enabled.

Because of the current restriction, I had to change the primary extension of BlitzBasic to .decls.
",808,"True","en",1
"1240",933,3,6,0,"Externals","pchaigno","2014-10-13T19:57:19Z",94,0,4,245,"This adds the support of the .pro file extension for Prolog.
This extension is often used as a replacement for .pl (which is also the Perl file extension).
Currently, Prolog files with the .pro extension are detected as IDL files.
This search result displays some misdetected files:
https://github.com/search?l=IDL&q=%3A-&ref=advsearch&type=Code
I've added some heuristics and a sample file.
",392,"False","en",1
"1253",900,4,36,7,"Externals","hoelzro","2014-12-02T16:52:46Z",4427,3,20,316,"Add some more Perl 6 examples so the classifier does a better job.
",67,"True","en",0
"1260",889,2,7,2,"Externals","larsbrinkhoff","2014-11-18T21:05:23Z",882,0,10,309,"More than 2000 Forth files with the `.f` extension are misidentified as Fortran:
http://github.com/search?q=extension%3A.f+dup

This pull request adds
- `.f` as a Forth extension
- Fortran samples
- Heuristics to chose between Forth and Fortran
- Tests

Tested with these repos:
http://github.com/ruv/epurger
http://github.com/certik/fortran-utils
http://github.com/joamaki/jforth
http://github.com/nschloe/lapack
http://github.com/besser82/linpack
http://github.com/xianyi/OpenBLAS
http://github.com/robertord/SBP-MCAP
http://github.com/zwizwa/staapl
http://github.com/voidlizard/tdforth
http://github.com/wesleycyn/ezForth
http://github.com/Starlink/starlink
http://github.com/orenf/fvs
http://github.com/VoidVolker/spf64
",724,"False","en",1
"1265",882,6,3,0,"Internals","arfon","2014-04-21T16:52:25Z",2916,5,4,107,"See https://github.com/github/linguist/pull/411 for original PR.

/ cc @josharian
",82,"True","en",0
"1267",879,1,0,0,"Externals","s0meone","2014-04-21T16:04:22Z",10,1,2,111,"Option hash was reset to an empty hash every time you call `#colorize`. Removed this so you can pass options to Pygments' formatters.

Included a test case.
",157,"True","en",1
"1296",826,1,11,0,"Externals","mmhelloworld","2014-04-21T16:21:41Z",45981,43526,6,131,"## What is Frege?

[Frege](http://en.wikipedia.org/wiki/Frege_%28programming_language%29) is a non-strict, pure functional programming language in the spirit of Haskell for the JVM.
It enjoys a strong static type system with type inference.
Higher rank types are supported, though type annotations are required for that.

Frege programs are compiled to Java and run in a JVM.
Existing Java Classes and Methods can be used seamlessly from Frege.

The Frege programming language is named after and in honor of Gottlob Frege.
## Project State:

The compiler, an Eclipse plugin and a provisional version of the documentation can be downloaded
from here https://github.com/Frege/frege/releases.

The REPL can be downloaded from here
https://github.com/Frege/frege-repl/releases.

An online REPL is running here
http://try.frege-lang.org/.
## Examples:

1) Command Line Clock: https://github.com/Frege/frege/blob/master/examples/CommandLineClock.fr
2) Brainfuck: https://github.com/Frege/frege/blob/master/examples/Brainfuck.fr
3) Concurrency: https://github.com/Frege/frege/blob/master/examples/Concurrent.fr
4) Sudoku: https://github.com/Frege/frege/blob/master/examples/Sudoku.fr
5) Java Swing examples: https://github.com/Frege/frege/blob/master/examples/SwingExamples.fr
",1270,"True","en",0
"1300",820,1,4,0,"Externals","waddlesplash","2014-06-20T11:42:21Z",19257,18291,6,192,"Mostly because the file extension conflicts with that of Prolog files.

Continuation of #708, with fixed conflicts and build.
cc @tnm, because you said you were interested :smile: 
",181,"True","en",0
"1303",817,1,0,0,"Externals","remixz","2014-04-21T16:24:39Z",51,3,3,135,"Dogescript: https://github.com/remixz/dogescript

Examples: 
- https://github.com/ngscheurich/doge-adventure
- https://github.com/Goos/dogenerator
- Dogescript compiling implemented in https://github.com/jenius/roots

```
 wow
     no dogescript on github
  much PR
      very syntax
    for great compile-to-JS
```
",316,"True","en",0
"1305",814,1,0,0,"Externals","ppannuto","2014-06-06T17:12:09Z",1,0,1,182,"The nesC entry in the languages.yml file was missing a lexer entry
and thus wasn't getting picked up. This adds the required lexer line.
",137,"False","en",0
"1318",780,3,0,0,"Externals","standage","2014-05-03T23:31:50Z",103,0,2,169,"I recently committed two R scripts to GitHub (https://github.com/standage/tk-rnaseq/commit/ac51150a362cb2c4cdb5c30c2b45883834ee6b31) : one was classified as Perl and the other as JavaScript. One of the R samples uses the same approach as I have (no file extension, `/usr/bin/env Rscript` on the shebang) and yet it's wrong.

I don't have much Ruby experience and was unable to get tests running locally, so I am submitting this pull request to see the test results on Travis.
",476,"True","en",0
"1336",748,1,55,5,"Externals","PaulBone","2014-04-21T22:13:46Z",15610,8,0,174,"Mercury is a logical/functional language.  It was first developed at The University of Melbourne and is now almost 20 years old.  Projects on github include:

https://github.com/Mercury-Language/mercury
https://github.com/PaulBone/protobuf-mercury
https://github.com/PaulBone/pbone_thesis
https://github.com/wangp/bower
https://github.com/juliensf/mercury-csv
https://github.com/juliensf/mercury-misc
https://github.com/juliensf/mercury-json
https://github.com/petdr/venus

Thanks.

lib/linguist/languages.yml:
    Add the declaration for the language.

samples/Mercury:
    Add samples for the classifier as Mercury shares it's filename extension
    with several other languages.
",682,"True","en",0
"1349",718,2,4,0,"Externals","SparkysWidgets","2014-04-21T16:38:24Z",8,8,3,189,"Added support for Eagle PCB files which are becoming common enough now on Github to make this addition. Taken from wickers PR ""Searching GitHub for ""eagle schematic"" yields 39 repositories and 16,531 code hits. Two high-profile communities with unlabeled Eagle repos are 'adafruit' and 'sparkfun'.""
",299,"True","en",0
"1361",678,3,0,0,"Externals","kethomassen","2013-12-23T21:02:57Z",7,0,2,105,"http://crystal-lang.org/
",25,"True","en",1
"1364",675,2,3,0,"Externals","webhat","2014-06-20T11:29:20Z",404,1,5,287,"I added a Lexer for the Pike Programming Language and have a pull request pending in pygments-main.

I have an open issue tmm1/pygments.rb#91 for the pygments update.

I've added this issue here for when it has been merged, and attached a pull request which adds the Pike lexer to linguist.
",291,"True","en",0
"1367",668,5,3,0,"Externals","johnjcamilleri","2014-04-21T16:49:36Z",2034,0,42,230,"The Grammatical Framework (GF) is a programming language for multilingual grammar applications. http://www.grammaticalframework.org/

Examples of GF usage on GitHub:
- https://github.com/GrammaticalFramework/GF
- https://github.com/johnjcamilleri/Maltese-GF-Resource-Grammar
- https://github.com/Attempto/ACE-in-GF
- https://github.com/GF-Estonian/GF-Estonian
",360,"True","en",0
"1388",590,1,0,0,"Externals","jsocol","2013-11-01T18:04:07Z",2,0,1,101,"Add .adp for AOL Server Tcl files.
",35,"True","en",0
"1389",589,3,0,0,"Externals","windley","2013-11-05T05:09:36Z",21,0,2,108,"Added config for Kinetic Rule Language (https://github.com/kre/Kinetic-Rules-Engine)
",85,"True","en",0
"1395",578,1,1,0,"Externals","timm","2013-11-05T19:57:11Z",1,0,1,116,"I'm porting to github my ""auk"" pre-processor language for ""awk"". currently, auk is in auk.googlecode.com

a "".auk"" file gets converted to "".awk"" after pulling out multi-line comments and add in support for structures.

when browsing, a "".auk"" file, it  should be syntax highlighted as a "".awk"" file

hence, i've changed languages.yml accordingly

t
",349,"True","en",0
"1398",572,1,0,0,"Externals","Aaron1011","2013-10-31T06:46:09Z",12,0,1,112,"Added REALbasic support
",24,"True","en",0
"1401",562,1,0,0,"Externals","hkdobrev","2013-11-05T03:40:48Z",8,0,1,126,"Sublime Text editor uses some extensions of its own which uses the JSON format.

It's popular to track such configuration files on GitHub so it would be useful to have JSON highlighting for them.
",196,"True","en",0
"1402",561,2,1,0,"Externals","aleksijuvani","2013-11-05T05:00:51Z",6,0,2,126,"Since the _vendor.yml_ file is already excluding all kinds of dependencies, wouldn't it also make sense to also exclude a folder dedicated only for dependencies? I'm not sure how widespread a folder called _""dependencies""_ is, but I'm at least using it in my own projects. There's already a pattern for a _""deps""_ folder, but I don't feel that's verbose enough.

Let me know what you think. Thanks!
",399,"True","en",1
"1404",555,3,4,0,"Externals","timjb","2013-11-05T19:36:20Z",135,1,3,129,"[Agda](http://wiki.portal.chalmers.se/agda/pmwiki.php?n=Main.HomePage) is a dependently type programming language and proof assistant, which is quite popular in the type theory community and is used [a lot](https://github.com/search?q=extension%3Aagda&type=Code&ref=advsearch&l=) on GitHub, for example in the [HoTT](https://github.com/HoTT/HoTT-Agda) cutting edge math research project

There is another [pull request](https://github.com/github/linguist/pull/252) adding support for Agda but that has been closed because of the lack of a Pygments lexer. Now, I've implemented a lexer which is in the main branch of pygments but hasn't landed in a release yet. I'm creating a new pull request because apparently the old one can't be reopened. Are there any additional steps I have to take because the lexer isn't in a released version of either pygments or pygments.rb?
",870,"True","en",0
"1405",550,1,0,1,"Externals","rschiang","2013-11-05T06:11:03Z",5,0,1,135,"QML itself has distinct extension .qml, but was misidentified as Prolog.
",73,"True","en",0
"1411",531,3,2,0,"Externals","chriskuehl","2013-11-05T04:43:46Z",10,0,2,147,"Projects using the [PhoneGap](https://github.com/phonegap) framework for creating cross-platform mobile applications contain one or more copies of a `cordova.js` file, which serves as a bridge between the project's code (written in JavaScript) and the device. Each platform has a slightly different version of this large library, so a mobile application can contain 5 or more copies of the file, even though it's really a library (and not part of the application's code).

PhoneGap is widely used, and there are many projects on GitHub using it. For example, the [phonegap-start](https://github.com/phonegap/phonegap-start) project has over 3,000 forks.

This pull request treats files with names like ""cordova.js"", ""cordova-1.2.0.js"", ""cordova.min.js"", etc. as libraries and does not count them as part of a project's codebase.
",829,"True","en",1
"1415",520,1,0,0,"Externals","MatthewFluet","2013-12-23T21:02:20Z",2,0,1,206,"Some projects written in Standard ML use the .fun extension.  For example:
- [RedBlackTree.fun](https://github.com/clf/celf/blob/master/RedBlackTree.fun)
- [main.fun](https://github.com/MLton/mlton/blob/master/mlton/main/main.fun)

Also, the Pygments Standard ML lexer recognizes the .fun extension; see:
- [functional.py](https://bitbucket.org/birkenfeld/pygments-main/src/0710694cba81a1544e6f789953ef164c7cfc4251/pygments/lexers/functional.py?at=default#cl-1082)

In contrast to pull request #440, this pull request only modifies `lib/linguist/languages.yml` and does not modify `samples/Standard ML/` (which makes the volatile `lib/linguist/samples.json` out of date).
",672,"False","en",0
"1420",508,2,0,0,"Externals","AdamFerguson","2013-11-05T04:30:20Z",16,0,3,172,"",0,"False","en",0
"1423",500,1,0,0,"Externals","Leushenko","2013-11-07T04:45:30Z",591,0,4,181,"Attempt 2: lexer now exists in Pygments
",40,"True","en",0
"1424",499,1,6,0,"Externals","ppannuto","2013-11-05T23:13:32Z",5,0,1,183,"nesC is an embedded systems language. It it is a stable product (~10
years old) primarily used for TinyOS, an embedded operating system.
Development has recently moved to github (https://github.com/tinyos/nesc).

Pygments has now pulled the nesC lexer as of 2013/5/6:
  https://bitbucket.org/birkenfeld/pygments-main/pull-request/166/

Please let me know if I need to do anything else / add more information.
",409,"False","en",0
